Produto,Marca,Categoria,Custo,Preco Venda,Venda Qtd,Venda R$ total,Lucro,Estoque físico Sistema,Estoque Financeiro,Contagem,Saldo Contagem físico,Estoque Contagem Financeiro,Cidade,Longitude,Latitude
Chocolate,Nestlé,Mercearia,"3,5",7,590,4130,2065,88,308,66,-22,-77,Jundiaí,-231.857,-468.978
Biscoito Recheado,Nestlé,Mercearia,2,5,547,2735,1641,43,86,22,-21,-42,Jundiaí,-231.857,-468.978
Coca-cola,Coca-cola,Refrigerante,"5,5",10.5,449,7.3,2.6,33,"181,5",33,0,0,Jundiaí,-231.857,-468.978
Guaraná,Antartica,Refrigerante,"4,5",9,790,7110,3555,34,153,28,-6,-27,Jundiaí,-231.857,-468.978
Suco,Dellvale,Refrigerante,"2,7",5,237,1185,"545,1",22,"59,4",21,-1,"-2,7",Jundiaí,-231.857,-468.978
Paçoca,Mineirinha,Mercearia,1,2.4,400,12.11,8.10,88,88,66,-22,-22,Jundiaí,-231.857,-468.978
Pasta de dente,Colgate,Higiene,"1,6",3.8,245,5.7,8.6,21,"33,6",18,-3,"-4,8",Jundiaí,-231.857,-468.978
Shampoo,Nivea,Higiene,7,15,330,4950,2640,45,315,41,-4,-28,Jundiaí,-231.857,-468.978
Desodorante,Rexona,Higiene,7,14,298,4172,2086,49,343,42,-7,-49,Jundiaí,-231.857,-468.978
Desodorante,Nivea,Higiene,"6,5",13,250,3250,1625,32,208,36,4,26,Jundiaí,-231.857,-468.978
Biscoito Recheado,Bauducco,Mercearia,"2,3",4.6,231,1.4,16.10,43,"98,9",40,-3,"-6,9",Jundiaí,-231.857,-468.978
Pão de forma,Pulmman,Padaria,"4,6",8,390,3120,1326,23,"105,8",23,0,0,Jundiaí,-231.857,-468.978
Pão de forma,Wickbold,Padaria,"4,5",7,245,1715,"612,5",21,"94,5",15,-6,-27,Jundiaí,-231.857,-468.978
Chocolate,Garoto,Mercearia,"3,8",6,456,2736,"1003,2",36,"136,8",34,-2,"-7,6",Jundiaí,-231.857,-468.978
Sabonete,Lux,Higiene,"1,8",3,343,1029,"411,6",15,27,16,1,"1,8",Jundiaí,-231.857,-468.978
Sabonete,Granado,Higiene,"2,5",4.3,190,9.10,21.6,23,"57,5",17,-6,-15,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,6,378,2268,1512,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,9,27,243,189,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,8,78,624,468,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
Biscoito Recheado,Negresco,Mercearia,2,3.5,480,6.3,20.7,35,70,26,-9,-18,Jundiaí,-231.857,-468.978
